종목코드,종목명,분기,발표일,정보출처,유형,포함버전,상장직후,거래일t0,모델,추정관측수,alpha,beta_시장,beta_섹터,R2,CAR_0_1,CAR_0_5,CAR_0_20,CAR_PRE,이벤트키,사유
090430,아모레퍼시픽,2022Q3,2022-10-31,잠정실적,브랜드,v1,False,2022-10-31,2팩터시장모델,220,-0.0008769416550405822,0.9894979178005379,0.6880494683084029,0.319490037197367,0.043567066007535016,0.1296759879503207,0.2777255193489342,-0.11553832516363916,090430_2022Q3,
090430,아모레퍼시픽,2022Q4,2023-02-01,잠정실적,브랜드,v1,False,2023-02-01,2팩터시장모델,220,0.0004363905045120477,1.0999754761919533,0.7195330023061127,0.3398463042922176,0.02060547402954003,-0.0014282464459319053,-0.028039565582926106,-0.002176234495861778,090430_2022Q4,
090430,아모레퍼시픽,2023Q1,2023-05-02,잠정실적,브랜드,v1,False,2023-05-02,2팩터시장모델,220,-0.000295798569169059,1.1583635503671244,0.6875005323046279,0.34403246932945974,-0.0735272624809438,-0.14040714786080533,-0.30662636550462047,-0.11828752919507854,090430_2023Q1,
090430,아모레퍼시픽,2023Q2,2023-07-26,잠정실적,브랜드,v1,False,2023-07-26,2팩터시장모델,220,-0.001364768253530433,1.1688010218703133,0.7025541745663877,0.363802602218928,0.12389914635636416,0.17830537654208317,0.16542261300563305,0.03441864306280401,090430_2023Q2,
090430,아모레퍼시픽,2023Q3,2023-10-31,잠정실적,브랜드,v1,False,2023-10-31,2팩터시장모델,220,0.0010135185129048182,1.1282505492950134,0.6635025091659533,0.32447466711327844,0.18177877237601148,0.186634104843782,0.16524478122107625,0.0061025704071854744,090430_2023Q3,
090430,아모레퍼시픽,2023Q4,2024-01-30,잠정실적,브랜드,v1,False,2024-01-30,2팩터시장모델,220,-0.00037393353091876697,0.6292366711608599,0.4563000281733977,0.17843416189175287,-0.12456103212685196,-0.072754158185691,-0.10507065942716914,-0.002762599341916732,090430_2023Q4,
090430,아모레퍼시픽,2024Q1,2024-04-29,잠정실적,브랜드,v1,False,2024-04-29,2팩터시장모델,220,-0.0008073937028895844,0.6616957477490925,0.4280756455539557,0.15974162819173976,0.09649979477198144,0.0603257679779426,0.10970362128336046,0.23742443651348014,090430_2024Q1,
090430,아모레퍼시픽,2024Q2,2024-08-06,잠정실적,브랜드,v1,False,2024-08-06,2팩터시장모델,220,0.0022560209420079205,0.35231359243277144,0.4585498507212943,0.15737802563941583,-0.2664063779520161,-0.32974350489322934,-0.2627182362475356,0.20003915191192612,090430_2024Q2,
090430,아모레퍼시픽,2024Q3,2024-10-31,잠정실적,브랜드,v1,False,2024-10-31,2팩터시장모델,220,0.0016475566997371548,0.38746097889329506,0.5084306684682288,0.1410745269309519,0.01772381431676906,0.03278284650443784,-0.015232837536199455,-0.18879037847152713,090430_2024Q3,
090430,아모레퍼시픽,2024Q4,2025-02-06,잠정실적,브랜드,v1,False,2025-02-06,2팩터시장모델,220,-0.00018621419529023806,0.524530656201756,0.5803439565212758,0.21521777972731582,-0.04008305464748637,-0.0437186220675819,-0.039221751948182434,0.2067608228845831,090430_2024Q4,
090430,아모레퍼시픽,2025Q1,2025-04-30,잠정실적,브랜드,v1,False,2025-04-30,2팩터시장모델,220,-0.0005719656368579143,0.6731336474659593,0.571682710819337,0.22125666940334499,0.019050647041977887,-0.030770175236454797,0.008549168431874962,0.13945419690044886,090430_2025Q1,
090430,아모레퍼시픽,2025Q2,2025-08-01,잠정실적,브랜드,v1,False,2025-08-01,2팩터시장모델,220,-0.000735673050877207,0.7856457759585801,0.5465211115422153,0.2436623281679673,-0.01566046603421208,-0.07192342694649817,-0.09910731645519356,-0.03032680804596063,090430_2025Q2,
090430,아모레퍼시픽,2025Q3,2025-11-06,잠정실적,브랜드,v1,False,2025-11-06,2팩터시장모델,220,-0.0010210289398615239,0.9710538178892631,0.43625195434423647,0.3900367698160322,0.08310889899133067,0.07919892933692914,0.09582341176831662,-0.04936243538982418,090430_2025Q3,
090430,아모레퍼시픽,2025Q4,2026-02-06,잠정실적,브랜드,v1,False,2026-02-06,2팩터시장모델,220,-0.001055829620513147,0.49485022047775523,0.46740520523698337,0.2814608139796452,0.17050983614222823,0.14620288234646145,0.01626696655638117,0.09841136983483102,090430_2025Q4,
090430,아모레퍼시픽,2026Q1,2026-04-29,잠정실적,브랜드,v1,False,2026-04-29,2팩터시장모델,220,-0.0010464422316931506,0.5027280915381986,0.5552221044238653,0.3334665591510739,-0.05792436465184919,-0.126648536931506,-0.2386442070041655,-0.0827380086520136,090430_2026Q1,
090430,아모레퍼시픽,2026Q2,2026-07-30,잠정실적,브랜드,v1,False,2026-07-30,2팩터시장모델,220,-0.0025622671111289463,0.40188904367794104,0.6939592816818573,0.42327050053219206,0.061398276517299406,0.039887692091419964,,0.17886336289840318,090430_2026Q2,
092730,네오팜,2022Q3,2022-11-04,잠정실적,브랜드,v1,False,2022-11-04,2팩터시장모델,220,-0.0005699605009934402,0.6766676818654205,0.4698455680913099,0.5877578713285778,0.005893625016119262,-0.012047501686929456,-0.015152632140885355,0.03587270861898774,092730_2022Q3,
092730,네오팜,2022Q4,2023-02-07,잠정실적,브랜드,v1,False,2023-02-07,2팩터시장모델,220,-0.00010970186775363038,0.7115882305788443,0.45741685058590686,0.6487762662625296,-0.011454979633214287,0.0028157779097228094,-0.0960014852005545,-0.033432597605601674,092730_2022Q4,
092730,네오팜,2023Q1,2023-05-04,잠정실적,브랜드,v1,False,2023-05-04,2팩터시장모델,220,-0.0012747578033618062,0.6881391482832614,0.41189433396324404,0.5102767811358817,0.13897406117530253,0.17369317105955182,0.08066434161433751,0.007141236436366393,092730_2023Q1,
092730,네오팜,2023Q2,2023-08-04,잠정실적,브랜드,v1,False,2023-08-04,2팩터시장모델,220,0.0007910218234641601,0.570785416607341,0.4245184624575791,0.2203256515036741,0.04592580250086255,0.037919821984782186,0.04885394174822884,-0.021106337176253,092730_2023Q2,
092730,네오팜,2023Q3,2023-11-03,잠정실적,브랜드,v1,False,2023-11-03,2팩터시장모델,220,0.0014358188580121734,0.42888712697611575,0.48444022159738226,0.18683585558006743,-0.0434103096914653,-0.0875466381338375,-0.060775206965109026,0.013581195012020882,092730_2023Q3,
092730,네오팜,2023Q4,2024-02-02,잠정실적,브랜드,v1,False,2024-02-02,2팩터시장모델,220,0.0008538046659372333,0.230327443981401,0.44159968282528445,0.1405516674531634,0.033609080596838106,0.0287776824478363,-0.02443099403503097,0.046177942851253165,092730_2023Q4,
092730,네오팜,2024Q1,2024-05-03,잠정실적,브랜드,v1,False,2024-05-03,2팩터시장모델,220,0.0017734756482924905,0.1241468553668419,0.47186865644701503,0.12362039999776886,-0.034130474938455994,-0.09080774811640553,-0.04938800619090522,-0.008815828141336964,092730_2024Q1,
092730,네오팜,2024Q2,2024-08-02,잠정실적,브랜드,v1,False,2024-08-02,2팩터시장모델,220,0.0016492981423199336,0.227543541603768,0.408832792101347,0.16543263121192764,-0.020371859212322384,-0.12780565234857397,-0.10819464277923792,-0.10655737335686936,092730_2024Q2,
092730,네오팜,2024Q3,2024-11-01,잠정실적,브랜드,v1,False,2024-11-01,2팩터시장모델,220,0.000142847952109753,0.19083867815967864,0.29933545350717483,0.11125483688555948,0.09210078919610983,0.09223707843850189,0.0171211352681629,0.006698843101808058,092730_2024Q3,
092730,네오팜,2024Q4,2025-02-04,잠정실적,브랜드,v1,False,2025-02-04,2팩터시장모델,220,-0.00014558455548548637,0.4905730299473616,0.322785361558194,0.19936581877966253,0.05692453601937818,0.037972510435478495,0.06337534169022414,-0.07351596492949673,092730_2024Q4,
