종목코드,종목명,유형,포함버전,corp_code,공시유형,접수일자,접수번호,제출인,공시명,정정여부,구분,대상연도,대상분기
092730,네오팜,브랜드,v1,00551920,정기공시,20240318,20240318000739,네오팜,사업보고서 (2023.12),False,정기보고서,2023.0,4.0
092730,네오팜,브랜드,v1,00551920,거래소공시,20240503,20240503900453,네오팜,연결재무제표기준영업(잠정)실적(공정공시),False,잠정실적,2024.0,1.0
092730,네오팜,브랜드,v1,00551920,정기공시,20240510,20240510000800,네오팜,분기보고서 (2024.03),False,정기보고서,2024.0,1.0
092730,네오팜,브랜드,v1,00551920,거래소공시,20240802,20240802900359,네오팜,연결재무제표기준영업(잠정)실적(공정공시),False,잠정실적,2024.0,2.0
092730,네오팜,브랜드,v1,00551920,정기공시,20240812,20240812000823,네오팜,반기보고서 (2024.06),False,정기보고서,2024.0,2.0
092730,네오팜,브랜드,v1,00551920,거래소공시,20241101,20241101900353,네오팜,연결재무제표기준영업(잠정)실적(공정공시),False,잠정실적,2024.0,3.0
092730,네오팜,브랜드,v1,00551920,정기공시,20241113,20241113000494,네오팜,분기보고서 (2024.09),False,정기보고서,2024.0,3.0
092730,네오팜,브랜드,v1,00551920,거래소공시,20250204,20250204900679,네오팜,연결재무제표기준영업(잠정)실적(공정공시),False,잠정실적,2024.0,4.0
092730,네오팜,브랜드,v1,00551920,정기공시,20250317,20250317000438,네오팜,사업보고서 (2024.12),False,정기보고서,2024.0,4.0
092730,네오팜,브랜드,v1,00551920,거래소공시,20250509,20250509900409,네오팜,연결재무제표기준영업(잠정)실적(공정공시),False,잠정실적,2025.0,1.0
092730,네오팜,브랜드,v1,00551920,정기공시,20250514,20250514000697,네오팜,분기보고서 (2025.03),False,정기보고서,2025.0,1.0
092730,네오팜,브랜드,v1,00551920,거래소공시,20250801,20250801900776,네오팜,연결재무제표기준영업(잠정)실적(공정공시),False,잠정실적,2025.0,2.0
092730,네오팜,브랜드,v1,00551920,정기공시,20250814,20250814002774,네오팜,반기보고서 (2025.06),False,정기보고서,2025.0,2.0
092730,네오팜,브랜드,v1,00551920,거래소공시,20251107,20251107900485,네오팜,연결재무제표기준영업(잠정)실적(공정공시),False,잠정실적,2025.0,3.0
092730,네오팜,브랜드,v1,00551920,정기공시,20251114,20251114001458,네오팜,분기보고서 (2025.09),False,정기보고서,2025.0,3.0
092730,네오팜,브랜드,v1,00551920,거래소공시,20260127,20260127900433,네오팜,연결재무제표기준영업(잠정)실적(공정공시),False,잠정실적,2025.0,4.0
092730,네오팜,브랜드,v1,00551920,정기공시,20260316,20260316001522,네오팜,사업보고서 (2025.12),False,정기보고서,2025.0,4.0
092730,네오팜,브랜드,v1,00551920,거래소공시,20260508,20260508900861,네오팜,영업(잠정)실적(공정공시),False,잠정실적,2026.0,1.0
092730,네오팜,브랜드,v1,00551920,정기공시,20260514,20260514000866,네오팜,분기보고서 (2026.03),False,정기보고서,2026.0,1.0
092730,네오팜,브랜드,v1,00551920,거래소공시,20260807,20260807900581,네오팜,영업(잠정)실적(공정공시),False,잠정실적,2026.0,2.0
092730,네오팜,브랜드,v1,00551920,정기공시,20260814,20260814002278,네오팜,반기보고서 (2026.06),False,정기보고서,2026.0,2.0
114840,아이패밀리에스씨,유통,v1,00692254,정기공시,20221114,20221114000186,아이패밀리에스씨,분기보고서 (2022.09),False,정기보고서,2022.0,3.0
114840,아이패밀리에스씨,유통,v1,00692254,거래소공시,20230216,20230216900167,아이패밀리에스씨,매출액또는손익구조30%(대규모법인은15%)이상변동,False,잠정실적,2022.0,4.0
114840,아이패밀리에스씨,유통,v1,00692254,정기공시,20230323,20230323001132,아이패밀리에스씨,사업보고서 (2022.12),False,정기보고서,2022.0,4.0
114840,아이패밀리에스씨,유통,v1,00692254,정기공시,20230515,20230515000799,아이패밀리에스씨,분기보고서 (2023.03),False,정기보고서,2023.0,1.0
114840,아이패밀리에스씨,유통,v1,00692254,정기공시,20230814,20230814000830,아이패밀리에스씨,반기보고서 (2023.06),False,정기보고서,2023.0,2.0
114840,아이패밀리에스씨,유통,v1,00692254,정기공시,20231113,20231113000110,아이패밀리에스씨,분기보고서 (2023.09),False,정기보고서,2023.0,3.0
114840,아이패밀리에스씨,유통,v1,00692254,거래소공시,20240214,20240214900627,아이패밀리에스씨,매출액또는손익구조30%(대규모법인은15%)이상변동,False,잠정실적,2023.0,4.0
114840,아이패밀리에스씨,유통,v1,00692254,정기공시,20240321,20240321001221,아이패밀리에스씨,사업보고서 (2023.12),False,정기보고서,2023.0,4.0
114840,아이패밀리에스씨,유통,v1,00692254,정기공시,20240510,20240510000600,아이패밀리에스씨,[기재정정]분기보고서 (2024.03),True,정기보고서,2024.0,1.0
114840,아이패밀리에스씨,유통,v1,00692254,정기공시,20240510,20240510000334,아이패밀리에스씨,분기보고서 (2024.03),False,정기보고서,2024.0,1.0
114840,아이패밀리에스씨,유통,v1,00692254,정기공시,20240809,20240809000237,아이패밀리에스씨,반기보고서 (2024.06),False,정기보고서,2024.0,2.0
114840,아이패밀리에스씨,유통,v1,00692254,정기공시,20241111,20241111000041,아이패밀리에스씨,분기보고서 (2024.09),False,정기보고서,2024.0,3.0
114840,아이패밀리에스씨,유통,v1,00692254,거래소공시,20250210,20250210901208,아이패밀리에스씨,매출액또는손익구조30%(대규모법인은15%)이상변동,False,잠정실적,2024.0,4.0
114840,아이패밀리에스씨,유통,v1,00692254,정기공시,20250320,20250320000516,아이패밀리에스씨,사업보고서 (2024.12),False,정기보고서,2024.0,4.0
114840,아이패밀리에스씨,유통,v1,00692254,정기공시,20250508,20250508000370,아이패밀리에스씨,분기보고서 (2025.03),False,정기보고서,2025.0,1.0
114840,아이패밀리에스씨,유통,v1,00692254,정기공시,20250814,20250814001244,아이패밀리에스씨,반기보고서 (2025.06),False,정기보고서,2025.0,2.0
