종목코드,종목명,분기,발표일,정보출처,유형,포함버전,상장직후,거래일t0,모델,추정관측수,alpha,beta_시장,beta_섹터,R2,CAR_0_1,CAR_0_5,CAR_0_20,CAR_PRE,이벤트키,사유,매출액,영업이익,OPM,자산총계,매출YoY,OPM변화,추세이탈도,흑자전환,적자전환,적자지속,로그자산,기준,산출방식,잠정실적더미,분석표본
092730,네오팜,2026Q1,2026-05-08,잠정실적,브랜드,v1,False,2026-05-08,2팩터시장모델,220,0.000718246683819,0.4170748519164426,0.6650223575224647,0.2711399749176222,-0.0546228003187345,-0.0670697054113046,-0.0823400397682737,0.0726469777888037,092730_2026Q1,,36223935831.0,8704195880.0,0.2402885186360963,225350497010.0,0.14600213032992482,-0.005857621837094595,0.055078323413232474,0,0,0,26.140922791583186,별도,직접,1,True
092730,네오팜,2026Q2,2026-08-07,잠정실적,브랜드,v1,False,2026-08-07,2팩터시장모델,220,-0.0004449110055797,0.4329040889767188,0.6283874220313117,0.3220369188844107,0.1129376549539969,0.0559750586768811,,0.0388194037909674,092730_2026Q2,,43571648895.0,9789095195.0,0.2246666225230538,226230032160.0,0.3623801020486688,0.005458059051064806,0.02255407394308574,0,0,0,26.144818159985277,별도,직접,1,True
114840,아이패밀리에스씨,2022Q3,2022-11-14,정기보고서,유통,v1,False,2022-11-14,2팩터시장모델,220,0.0030135267560878,1.1998076454218018,0.7902919064127399,0.3302505463903795,0.0107763544476368,-0.0274469007840713,0.0466549731770902,-0.2442322076023352,114840_2022Q3,,21000669869.0,2062582368.0,0.0982150750840889,74128226811.0,0.475315539010699,0.0252385861912761,-0.055498247187840695,0,0,0,25.029062225337046,별도,직접,0,True
114840,아이패밀리에스씨,2022Q4,2023-02-16,잠정실적,유통,v1,False,2023-02-16,2팩터시장모델,220,0.003032828071116,1.231385469655675,0.8283371438739906,0.3714465985029852,-0.1296662981149236,-0.0733307800972481,-0.0713348060185975,-0.0983411784850073,114840_2022Q4,,20161547023.0,1946594810.0,0.0965498732701093,72333625980.0,0.10156388315804975,0.006600157844065702,-0.014418439054720152,0,0,0,25.004554947617027,별도,역산,1,True
114840,아이패밀리에스씨,2023Q1,2023-05-15,정기보고서,유통,v1,False,2023-05-15,2팩터시장모델,220,0.0014375277881912,1.093209099954922,0.6689991802044537,0.334496399879844,-0.0389646090152113,-0.1312651299689099,-0.0211751630980412,0.0652547866757303,114840_2023Q1,,32844018532.0,4657188489.0,0.1417971581176186,82724237364.0,0.470416092184376,-0.015052688617095522,0.10446482054737383,0,0,0,25.138778471781404,별도,직접,0,True
114840,아이패밀리에스씨,2023Q2,2023-08-14,정기보고서,유통,v1,False,2023-08-14,2팩터시장모델,220,0.0034737908531484,0.9560223808089056,0.98685363451197,0.3296623311767058,0.0429785842511661,0.1467270901049939,0.0725694500070144,-0.1571335702050215,114840_2023Q2,,36673100651.0,5060787696.0,0.1379972679201861,91833434407.0,0.6794477378566552,0.0466021937349695,0.011675361856492619,0,0,0,25.243242277491355,별도,직접,0,True
114840,아이패밀리에스씨,2023Q3,2023-11-13,정기보고서,유통,v1,False,2023-11-13,2팩터시장모델,220,0.005153182752856,0.549840845891547,0.970846886871942,0.2605411069712212,-0.0145416308406516,-0.0003878565934606,-0.0155659012188957,-0.0836676562807925,114840_2023Q3,,37207605491.0,6653635385.0,0.1788246058083319,92334681459.0,0.7717342219604033,0.080609530724243,0.007943124116694048,0,0,0,25.24868565499804,연결,직접,0,True
114840,아이패밀리에스씨,2023Q4,2024-02-14,잠정실적,유통,v1,False,2024-02-14,2팩터시장모델,220,0.0031643186738535,0.3960250753454973,0.9972638679494602,0.2620886012057802,0.0542415136143604,0.0265413441478054,0.172748323433948,0.1260600816810736,114840_2023Q4,,41961188281.0,7624583570.0,0.1817056161265196,89832890141.0,1.0812484395731778,0.08515574285641028,-0.013968819330729236,0,0,0,25.221217005119822,연결,역산,1,True
114840,아이패밀리에스씨,2024Q1,2024-05-10,정기보고서,유통,v1,False,2024-05-10,2팩터시장모델,220,0.0036923299863027,0.2600765327947625,0.8932610493575662,0.2258150829015809,0.1004118437658545,0.0495856186131615,0.1255202067935822,-0.102120994719177,114840_2024Q1,,57411304700.0,11761040185.0,0.2048558249365129,118499447102.0,0.7479987914409449,0.0630586668188943,0.05466228617166406,0,0,0,25.498174131704804,연결,직접,0,True
114840,아이패밀리에스씨,2024Q2,2024-08-09,정기보고서,유통,v1,False,2024-08-09,2팩터시장모델,220,0.0063387224501968,0.1904907145694777,1.0744732133185853,0.3081189926209956,-0.1289351311486799,-0.2012142849363927,-0.4892242820693419,-0.0076073289569401,114840_2024Q2,,49008529025.0,6956237730.0,0.1419393291002779,131236145012.0,0.3363617516661667,0.003942061180091799,-0.12419675744389473,0,0,0,25.60026417103277,연결,직접,0,True
114840,아이패밀리에스씨,2024Q3,2024-11-11,정기보고서,유통,v1,False,2024-11-11,2팩터시장모델,220,0.0039036544336675,0.5472084965883899,1.0657923816615409,0.3279175791746175,-0.0027437376343047,0.0914981821867884,0.1004039999472967,-0.2247180273919369,114840_2024Q3,,50105152723.0,9087526114.0,0.1813690931996403,123732293579.0,0.34663738936706734,0.0025444873913084143,-0.008430550413352944,0,0,0,25.54138614596808,연결,직접,0,True
114840,아이패밀리에스씨,2024Q4,2025-02-10,잠정실적,유통,v1,False,2025-02-10,2팩터시장모델,220,0.0024345861638108,1.0358202432822825,1.1122669858763816,0.4243028533011009,-0.1492326995183406,-0.0987238829153258,-0.2688359617167059,0.3030074703416539,114840_2024Q4,,48355619713.0,5827651503.0,0.1205165301900429,122318512016.0,0.15238918853247524,-0.06118908593647669,-0.06050386094449018,0,0,0,25.529894233810428,연결,역산,1,True
114840,아이패밀리에스씨,2025Q1,2025-05-08,정기보고서,유통,v1,False,2025-05-08,2팩터시장모델,220,0.0012153116249527,1.1027827827631935,1.2184721236186782,0.4278964910539213,-0.1931018074519657,-0.212354134838326,-0.3850180593923733,0.0576398572228682,114840_2025Q1,,54393895300.0,7145051931.0,0.1313576071651555,133220444251.0,-0.05255775697429848,-0.0734982177713574,0.04879513498456879,0,0,0,25.615271068642894,연결,직접,0,True
114840,아이패밀리에스씨,2025Q2,2025-08-14,정기보고서,유통,v1,False,2025-08-14,2팩터시장모델,220,-0.0018784229179914,1.1297229831778943,0.673479344153908,0.3208156481635604,0.0743388875830117,0.2758631760891448,0.3553760679936112,0.1344196240467185,114840_2025Q2,,57659513095.0,7178936728.0,0.1245056772534995,142590832599.0,0.17651996993394764,-0.017433651846778406,0.010374314287296186,0,0,0,25.68324505533553,연결,직접,0,True
114840,아이패밀리에스씨,2025Q3,2025-11-14,정기보고서,유통,v1,False,2025-11-14,2팩터시장모델,220,0.0008178857224532,0.965069431714729,0.5684492385335262,0.2079503588257948,-0.0426150842220347,-0.0935522541394672,-0.0877804642450755,-0.1314307283395931,114840_2025Q3,,53467225918.0,6184940598.0,0.1156772301500274,144815297869.0,0.06710034821342221,-0.06569186304961291,-0.00042566335000999555,0,0,0,25.698724959584215,연결,직접,0,True
114840,아이패밀리에스씨,2025Q4,2026-03-19,정기보고서,유통,v1,False,2026-03-19,2팩터시장모델,220,-0.0025215921817093,0.5812226522323038,0.466960714867619,0.1748723074255822,0.0398638300252229,0.025416693264842,0.0541204087310888,-0.1655625974042293,114840_2025Q4,,58575419870.0,6618814938.0,0.1129964574336733,142391571157.0,0.21134668974684845,-0.007520072756369595,-0.004127469731101749,0,0,0,25.68184664285921,연결,역산,0,True
114840,아이패밀리에스씨,2026Q1,2026-05-15,정기보고서,유통,v1,False,2026-05-15,2팩터시장모델,220,-0.0038392185935612,0.5610590156792687,0.4751987343696567,0.2484914670098803,0.0370994384455903,0.1415514478214384,0.1834955985344602,-0.1584462805347505,114840_2026Q1,,54847089936.0,3691985400.0,0.0673141529351531,147892027137.0,0.008331718725060678,-0.06404345423000239,-0.044610823917095546,0,0,0,25.719748298090447,연결,직접,0,True
114840,아이패밀리에스씨,2026Q2,2026-08-13,정기보고서,유통,v1,False,2026-08-13,2팩터시장모델,220,-0.0032228556046676,0.6712102362037209,0.626140308983809,0.380256176792113,-0.0326449781868619,-0.0583213337509699,,0.0667259698673517,114840_2026Q2,,58660342221.0,6814957283.0,0.1161765687851765,147403188177.0,0.017357571583218726,-0.008329108468322993,0.05801249445799756,0,0,0,25.716437445891074,연결,직접,0,True
161890,한국콜마,2022Q3,2022-11-11,잠정실적,ODM,v1,False,2022-11-11,2팩터시장모델,220,0.0013218961608518,1.1773552206413314,0.8252384214445397,0.547890836817582,0.0253360941091518,0.012565348018098,-0.0087652811310479,-0.0443988510083107,161890_2022Q3,,473518828595.0,18094353955.0,0.0382125331925841,2970751954020.0,0.2594701584338517,0.004223472843367701,-0.032969688409904246,0,0,0,28.719836219869425,연결,직접,1,True
