이벤트키,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
090430_2023Q3,0.0006616860543768345,-0.017348926143686404,0.05274456623749999,0.004191802060003824,-0.04371076800250212,0.022915416779319638,-0.05152277448019849,-0.03770354021919087,0.013719050880415251,-0.016618586076279675,-0.013654995581583514,-0.000310642845712998,0.009800351211662534,0.013453411246866045,0.016862978218499896,0.002050081121013037,0.04852761129337092,0.03799969935850402,-0.0031262980690960496,-0.03282755263609641,0.12103788454245011,0.06074088783356138,-0.04674651773943318,0.01936754684957568,0.04296859818109379,-0.010734294823465761,-0.019391369515089414,0.018091497210473394,-0.02031382903700935,0.014613653215034036,-0.02622292349601994,-0.00744187348494179,-0.02901223691182192,0.03583225188974762,-0.007585962703184391,-0.014280391067991633,-0.0019097896291720515,-0.0005167213965336622,-0.0005502065571384405,0.05018781926269067,-0.012889241401748904
090430_2023Q4,-0.02690361215439406,-0.03088762452934275,-0.025592623399879,0.010665586800826686,-0.013013329784701813,0.01189623868787508,-0.022169936812633413,-0.027983650331271412,0.0065414967181448,-0.027027724811211837,0.007894691554059795,0.006728128461086691,0.06518588884274024,0.0069447265188848474,0.011752467682745925,0.040485279570093236,-0.009352448241529887,0.00682565649043762,0.02100809154569309,-0.015759902149540563,-0.006649650581448889,-0.11791138154540307,0.012873485188035952,0.02136913946278892,-0.019301126725700946,0.036865376016037045,0.014126710399526198,0.021869107274070036,-0.03361102938860191,-0.03071634886019052,0.01730614451122159,0.0017733314592332612,0.020335835181147607,0.005606911270454484,-0.023582074546837972,-0.0017970664705293095,-0.015488612121339408,0.0021720143328405363,0.015331180477252432,-0.0008539082062133559,-0.02478869655351187
090430_2024Q1,0.00568706277846766,0.03578788983244281,0.047769962977490046,0.011696631216285834,-0.024690376424258316,0.020985494001475757,0.014954134252277583,-0.03427039086128946,-0.01707721593740197,0.04913813494709823,0.011703808706794046,0.04325175658853992,0.028975868557558335,0.01148095103067339,-0.011075116711024145,-0.010564338994806025,0.005111605808451854,0.0058933773810374394,0.02065492888787073,0.022010268475796402,0.022698607917530048,0.07380118685445139,0.02710400100894873,-0.02824524926882158,-0.021334464099509922,-0.013698314434656071,0.0018880835153317795,-0.02907863125871215,-0.006953524923163547,-0.0017242474896884117,0.04163451303808888,-0.009841733038181942,0.028180149351485086,0.01528387545604324,0.03733588562829129,-0.01587893645600168,-0.018507289425154623,-0.014513653841033328,-0.0272182923164722,0.039278035465806,0.009493619598779496
090430_2024Q2,0.023939001751886586,-0.004217016572193405,-0.0009760399034026311,0.02034894746415595,-0.03449384622829381,0.0077345810172790245,0.0686527541803614,0.0396315858397992,-0.019787589624266952,0.0887751214702984,-0.028069216933811092,0.017310304205460154,0.016078841122794757,-0.02293735588890614,0.03853561275194612,-0.011559100210369403,0.024815418716129117,-0.0331399528396051,0.041574115504918616,-0.03217701391225462,-0.005133679739725991,-0.2612726982122901,-0.03435113866048922,-0.03213733598680705,0.008578578564875376,-0.005427230858792303,0.0012463148250007813,0.019396268085581952,0.0017018421715104648,-0.012348298158636034,0.0012366359995813732,0.0031209230812711637,0.0014306524774024333,0.010597713634846215,0.007641401321000572,0.027331831011597783,-0.0033423976352018707,-0.0019332592917602805,-0.006399008926656196,0.013383812035898519,0.00396083801425685
090430_2024Q3,-0.03073772600531474,-0.04436624483919995,-0.041280680777195246,-0.023270841225540566,-0.02167966163349761,0.02088188890354214,-0.024044960622439576,-0.007228742131020016,-0.006491247071588881,-0.0012422500188587413,9.963078720178192e-05,0.0222536031801938,0.00300537014488716,-0.003623443273454676,-0.0016955911264341043,-0.004362307657820607,-0.03714955809869416,0.01865968151848901,0.0034907844456024528,-0.010008082970384621,-0.030381173751196547,0.04810498806796561,0.019270494620395255,0.014473041904305376,-0.042145148750871025,0.023460644413839174,-0.009912661279072735,-0.01619420781215604,-0.01033444073885257,0.001999920087389131,-0.02225807655412076,0.0009548781922815684,0.013357567103613601,0.006095957234128559,0.0017168482527475373,-0.004433357023852514,-0.002015339193378079,-0.01659082234257608,0.015476758188836552,-0.009868971537707234,0.0039902633820817655
090430_2024Q4,0.043330198699022764,0.07766061811150501,0.0023272829956378304,-0.014234044552030468,-0.00412339431200057,0.016884353717655134,0.017490637004227146,-0.014708391613435004,-0.003504403379517091,0.04895714205701237,0.01260081820010271,0.0018242087884456654,-0.008457528730271053,0.02485258918609745,0.009801079314466665,0.01835486618294125,0.029444703419627873,-0.032114385206545276,0.01362386036417016,-0.03324938736252944,0.01215659979829472,-0.05223965444578109,-0.006687905116557213,-0.003207864567572255,0.004596420595410832,0.0016637816686231074,0.006677909602206874,-0.002732736838584596,-0.028499490616912124,0.02389427412534418,0.056483336364047156,-0.052918549163487184,0.013494238937382542,0.0014509330228136066,0.0142764614205442,0.008042006569677943,-0.016916190329321203,-0.012613396749953657,-0.004526172801835398,0.004430660603035139,-0.0060464140255580175
090430_2025Q1,0.02225687795208657,0.0014134052089590787,0.024719581941733775,-0.011876612026920141,-0.0015085468015224581,-0.009600859977944545,0.027908937946429256,-0.013122979801187843,0.006720000734143601,-0.0005943507805586871,0.008641627796653568,0.018539385640443308,0.004317414933427571,0.005458287760580069,-0.005834135377663658,0.006083931464491814,0.01678647168389645,0.020663531825334508,0.0027908512070109835,0.01569137557105564,0.01799122831161374,0.001059418730364147,-0.01449486136540451,-0.027368675779665577,-0.005160975730507986,-0.0027963094028546093,-0.004615566533347148,-0.003323672525824035,-0.0015090803433429334,0.021293134710443376,-0.006672423816107692,-0.010555959102422127,0.029365654510652157,-0.011403742663924023,0.0709279427668776,-0.01116183893352284,0.005775345230237789,0.003780537412381934,-0.015458824757308134,-0.007695965253217585,-0.01942619703324657
090430_2025Q2,-0.0022417010436637796,-0.007694355028955989,-0.04011340001824516,-0.005519921690718398,0.014173562437435939,-0.023875043385923344,0.04010417010747444,-0.0057945736777186155,-0.018930007589942968,0.01573767700035924,0.003925049212937284,0.0010860637332786491,-0.00763229629598205,-0.004304058134421231,0.01421081201821011,-0.004105839979811395,-0.007956350880828559,-0.01794203784787778,0.02059403562340504,0.005951407395027929,0.011076973211057696,-0.026737439245269775,-0.02976175232225574,-0.003149831962849396,-0.012598819395361706,-0.010752557231819258,0.021599389598737362,-0.011697238648425437,0.008047800762840122,-0.011125883432466345,-0.00392476681972646,0.005492004575667968,0.011708355432361553,-0.028998406995454362,-0.010877373053332263,0.0037356776479539264,0.0016236469004810338,-0.009922666787387551,-0.005901549977542719,0.004698067080118967,-0.001640945792521161
090430_2025Q3,-0.021142639199050843,-0.01571091654873247,0.015185172341111927,-0.002712205374701654,-0.026042430454356235,0.003908886808545306,0.0039542784967430905,-0.003992293387305428,-0.0037470062089900212,-0.0004002760489377685,-0.00959347728982485,-0.010412062247019807,-0.002850538141400778,0.035448430456971214,-0.02442360780940894,0.0022433849902346436,-0.006090450102164363,-0.024305287997772117,0.01944899805480433,0.02187160427143059,0.0077561992185297655,0.0753526997728009,-0.02077408275971934,0.0007753385486685832,0.0068940850663694805,0.009194689490279757,0.022104793121962334,-0.010461829055796802,0.0004269319443409268,0.03188994772838939,0.03364607271942884,0.023169286565603374,-0.018529571643400855,-0.025652444091113315,-0.008906706555193336,-0.026556975246376013,-0.009631818940169564,0.026967285436592672,-0.019152595578545317,0.0023392512902488533,-0.0050271452645837085
090430_2025Q4,-0.02016765466319112,0.0036930987953949597,0.0037855942113699994,0.003819121967165345,-0.0003843956117587441,0.013680620086171004,-0.011741173244142832,0.00038601001268597467,-0.019619771931004143,0.03657479623968066,0.048423743706913776,-0.021536145875184994,0.01292996252458461,-0.010548256316370215,0.0318089132451894,-0.0015844622424538409,0.01462095578313238,-0.009112973179714719,0.001651362833516384,0.021732023492847124,-0.0021860426388168198,0.17269587878104506,-0.003780214833324357,-0.007841527767791045,-0.02927565484947657,0.016590443654825218,-0.008216597233798507,-0.03270395315392421,0.009570138615962483,0.003405586971660382,-0.0020557569005913903,-0.009784938479969306,-0.029267709304962163,-0.036600987771048976,-0.016054665146888802,-0.01488287888146815,0.0023613535493066436,0.015203457265631607,-0.021901256257123983,0.013591391094383776,-0.002599100157249701
