종목코드,종목명,유형,포함버전,corp_code,공시유형,접수일자,접수번호,제출인,공시명,정정여부,구분,대상연도,대상분기
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20241213,20241213800934,아모레퍼시픽,기타경영사항(자율공시)              (배당기준일 변경 안내),False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20241213,20241213800906,아모레퍼시픽,주주명부폐쇄기간또는기준일설정,False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20241115,20241115800111,아모레퍼시픽,기업설명회(IR)개최(안내공시),False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20241112,20241112800306,아모레퍼시픽,기업가치제고계획(자율공시),False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20241031,20241031800608,아모레퍼시픽,기업가치제고계획예고(안내공시),False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20241031,20241031800447,아모레퍼시픽,연결재무제표기준영업(잠정)실적(공정공시),False,잠정실적,2024.0,3.0
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20241024,20241024800066,아모레퍼시픽,결산실적공시예고(안내공시),False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20241007,20241007800306,아모레퍼시픽,최대주주등소유주식변동신고서,False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20240927,20240927800126,아모레퍼시픽,최대주주등소유주식변동신고서,False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20240909,20240909800047,아모레퍼시픽,기업설명회(IR)개최(안내공시),False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20240906,20240906800274,아모레퍼시픽,기업설명회(IR)개최(안내공시),False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20240906,20240906800271,아모레퍼시픽,최대주주등소유주식변동신고서,False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20240829,20240829800100,아모레퍼시픽,최대주주등소유주식변동신고서,False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20240827,20240827800060,아모레퍼시픽,기업설명회(IR)개최(안내공시),False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20240823,20240823800068,아모레퍼시픽,기업설명회(IR)개최(안내공시),False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20240806,20240806800655,아모레퍼시픽,연결재무제표기준영업(잠정)실적(공정공시),False,잠정실적,2024.0,2.0
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20240730,20240730800378,아모레퍼시픽,결산실적공시예고(안내공시),False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20240704,20240704800494,아모레퍼시픽,최대주주등소유주식변동신고서,False,,,
