일자,종가,거래량,종목코드,종목명,수익률
2021-12-28,176500,131893,090430,아모레퍼시픽,0.011461318051575908
2021-12-29,175000,142287,090430,아모레퍼시픽,-0.008498583569405138
2021-12-30,167000,292476,090430,아모레퍼시픽,-0.04571428571428571
2022-01-03,168000,157696,090430,아모레퍼시픽,0.0059880239520957446
2022-01-04,166500,198915,090430,아모레퍼시픽,-0.008928571428571397
2022-01-05,162000,390474,090430,아모레퍼시픽,-0.027027027027026973
2022-01-06,163500,319517,090430,아모레퍼시픽,0.0092592592592593
2022-01-07,160500,269295,090430,아모레퍼시픽,-0.01834862385321101
2022-01-10,152000,897775,090430,아모레퍼시픽,-0.052959501557632405
2022-01-11,153000,249170,090430,아모레퍼시픽,0.006578947368421018
2022-01-12,155000,177260,090430,아모레퍼시픽,0.013071895424836555
2022-01-13,153500,265984,090430,아모레퍼시픽,-0.009677419354838679
2022-01-14,152000,131369,090430,아모레퍼시픽,-0.009771986970684043
2022-01-17,149500,150520,090430,아모레퍼시픽,-0.016447368421052655
2022-01-18,150000,110045,090430,아모레퍼시픽,0.0033444816053511683
2022-01-19,150000,120352,090430,아모레퍼시픽,0.0
2022-01-20,157000,282681,090430,아모레퍼시픽,0.046666666666666634
2022-01-21,159500,254008,090430,아모레퍼시픽,0.015923566878981
2022-01-24,154500,243185,090430,아모레퍼시픽,-0.031347962382445194
2022-01-25,150500,222878,090430,아모레퍼시픽,-0.02588996763754048
2022-01-26,153500,186135,090430,아모레퍼시픽,0.019933554817275656
2022-01-27,149500,224031,090430,아모레퍼시픽,-0.026058631921824116
2022-01-28,155000,181396,090430,아모레퍼시픽,0.03678929765886285
2022-02-03,154000,170892,090430,아모레퍼시픽,-0.006451612903225823
2022-02-04,160000,158497,090430,아모레퍼시픽,0.03896103896103886
2022-02-07,159500,199691,090430,아모레퍼시픽,-0.0031250000000000444
2022-02-08,158000,161522,090430,아모레퍼시픽,-0.009404388714733591
2022-02-09,163500,318527,090430,아모레퍼시픽,0.034810126582278444
2022-02-10,178500,1173589,090430,아모레퍼시픽,0.09174311926605494
2022-02-11,175000,454407,090430,아모레퍼시픽,-0.019607843137254943
2022-02-14,172500,164805,090430,아모레퍼시픽,-0.014285714285714235
2022-02-15,180000,403502,090430,아모레퍼시픽,0.04347826086956519
2022-02-16,181000,265104,090430,아모레퍼시픽,0.005555555555555536
2022-02-17,187500,516078,090430,아모레퍼시픽,0.035911602209944826
2022-02-18,190000,322299,090430,아모레퍼시픽,0.01333333333333342
2022-02-21,191000,172888,090430,아모레퍼시픽,0.0052631578947368585
2022-02-22,188500,211877,090430,아모레퍼시픽,-0.01308900523560208
2022-02-23,185500,257656,090430,아모레퍼시픽,-0.01591511936339518
2022-02-24,184000,265919,090430,아모레퍼시픽,-0.008086253369272267
2022-02-25,179500,304975,090430,아모레퍼시픽,-0.024456521739130488
2022-02-28,184000,189504,090430,아모레퍼시픽,0.025069637883008422
2022-03-02,185500,156456,090430,아모레퍼시픽,0.008152173913043459
2022-03-03,186500,123549,090430,아모레퍼시픽,0.005390835579514919
2022-03-04,184000,131661,090430,아모레퍼시픽,-0.013404825737265424
2022-03-07,179500,146384,090430,아모레퍼시픽,-0.024456521739130488
2022-03-08,174000,180490,090430,아모레퍼시픽,-0.03064066852367686
2022-03-10,170000,467151,090430,아모레퍼시픽,-0.02298850574712641
2022-03-11,167500,449457,090430,아모레퍼시픽,-0.014705882352941124
2022-03-14,154000,703326,090430,아모레퍼시픽,-0.08059701492537319
2022-03-15,153500,365015,090430,아모레퍼시픽,-0.0032467532467532756
2022-03-16,155000,344802,090430,아모레퍼시픽,0.009771986970684043
2022-03-17,154000,772840,090430,아모레퍼시픽,-0.006451612903225823
2022-03-18,151000,606826,090430,아모레퍼시픽,-0.01948051948051943
2022-03-21,153500,517030,090430,아모레퍼시픽,0.01655629139072845
2022-03-22,155000,358919,090430,아모레퍼시픽,0.009771986970684043
2022-03-23,156500,267656,090430,아모레퍼시픽,0.00967741935483879
2022-03-24,155500,258438,090430,아모레퍼시픽,-0.006389776357827448
2022-03-25,155500,185696,090430,아모레퍼시픽,0.0
2022-03-28,153000,403054,090430,아모레퍼시픽,-0.01607717041800638
2022-03-29,159000,623902,090430,아모레퍼시픽,0.03921568627450989
2022-03-30,160000,262890,090430,아모레퍼시픽,0.0062893081761006275
2022-03-31,160000,245191,090430,아모레퍼시픽,0.0
2022-04-01,165500,599970,090430,아모레퍼시픽,0.034375000000000044
2022-04-04,167000,430860,090430,아모레퍼시픽,0.009063444108761365
2022-04-05,167000,302469,090430,아모레퍼시픽,0.0
2022-04-06,162000,368517,090430,아모레퍼시픽,-0.029940119760479056
2022-04-07,156000,303495,090430,아모레퍼시픽,-0.03703703703703709
2022-04-08,154000,294591,090430,아모레퍼시픽,-0.012820512820512775
2022-04-11,156000,233389,090430,아모레퍼시픽,0.01298701298701288
2022-04-12,158000,193133,090430,아모레퍼시픽,0.012820512820512775
2022-04-13,161500,259786,090430,아모레퍼시픽,0.02215189873417711
2022-04-14,163000,268118,090430,아모레퍼시픽,0.009287925696594534
2022-04-15,161500,158908,090430,아모레퍼시픽,-0.009202453987730008
2022-04-18,168000,586589,090430,아모레퍼시픽,0.04024767801857587
2022-04-19,166000,293213,090430,아모레퍼시픽,-0.011904761904761862
2022-04-20,166500,252144,090430,아모레퍼시픽,0.003012048192771122
2022-04-21,167500,264063,090430,아모레퍼시픽,0.006006006006006093
2022-04-22,168500,184893,090430,아모레퍼시픽,0.005970149253731405
2022-04-25,158500,441609,090430,아모레퍼시픽,-0.05934718100890213
2022-04-26,161000,209342,090430,아모레퍼시픽,0.01577287066246047
2022-04-27,163000,292128,090430,아모레퍼시픽,0.012422360248447228
2022-04-28,178000,1554177,090430,아모레퍼시픽,0.09202453987730053
2022-04-29,181000,683408,090430,아모레퍼시픽,0.016853932584269593
2022-05-02,179000,324536,090430,아모레퍼시픽,-0.011049723756906049
2022-05-03,172500,352902,090430,아모레퍼시픽,-0.03631284916201116
2022-05-04,168500,281074,090430,아모레퍼시픽,-0.023188405797101463
2022-05-06,166500,218189,090430,아모레퍼시픽,-0.011869436201780381
2022-05-09,164000,248200,090430,아모레퍼시픽,-0.01501501501501501
2022-05-10,167500,305896,090430,아모레퍼시픽,0.021341463414634054
2022-05-11,168500,381726,090430,아모레퍼시픽,0.005970149253731405
2022-05-12,163500,384994,090430,아모레퍼시픽,-0.029673590504451064
2022-05-13,165000,291227,090430,아모레퍼시픽,0.00917431192660545
2022-05-16,162000,314411,090430,아모레퍼시픽,-0.018181818181818188
2022-05-17,157000,686754,090430,아모레퍼시픽,-0.030864197530864224
2022-05-18,156000,339199,090430,아모레퍼시픽,-0.006369426751592355
2022-05-19,153000,324944,090430,아모레퍼시픽,-0.019230769230769273
2022-05-20,153500,217429,090430,아모레퍼시픽,0.0032679738562091387
2022-05-23,158000,224089,090430,아모레퍼시픽,0.02931596091205213
2022-05-24,155000,182426,090430,아모레퍼시픽,-0.01898734177215189
2022-05-25,157000,126697,090430,아모레퍼시픽,0.012903225806451646
2022-05-26,154500,256175,090430,아모레퍼시픽,-0.015923566878980888
2022-05-27,156000,333183,090430,아모레퍼시픽,0.009708737864077666
2022-05-30,161500,320869,090430,아모레퍼시픽,0.03525641025641035
2022-05-31,163500,588568,090430,아모레퍼시픽,0.01238390092879249
2022-06-02,162000,160594,090430,아모레퍼시픽,-0.00917431192660545
2022-06-03,166500,222114,090430,아모레퍼시픽,0.02777777777777768
2022-06-07,160000,288293,090430,아모레퍼시픽,-0.03903903903903905
2022-06-08,155000,302234,090430,아모레퍼시픽,-0.03125
2022-06-09,157000,292296,090430,아모레퍼시픽,0.012903225806451646
2022-06-10,153000,207465,090430,아모레퍼시픽,-0.02547770700636942
2022-06-13,149500,222137,090430,아모레퍼시픽,-0.022875816993464082
2022-06-14,146000,409490,090430,아모레퍼시픽,-0.02341137123745818
2022-06-15,142000,293028,090430,아모레퍼시픽,-0.0273972602739726
2022-06-16,135000,543242,090430,아모레퍼시픽,-0.04929577464788737
2022-06-17,139500,406829,090430,아모레퍼시픽,0.03333333333333344
2022-06-20,139500,250449,090430,아모레퍼시픽,0.0
2022-06-21,141000,157140,090430,아모레퍼시픽,0.010752688172043001
2022-06-22,126500,867468,090430,아모레퍼시픽,-0.1028368794326241
2022-06-23,128000,323898,090430,아모레퍼시픽,0.011857707509881354
2022-06-24,129500,284786,090430,아모레퍼시픽,0.01171875
2022-06-27,133500,253558,090430,아모레퍼시픽,0.030888030888030826
2022-06-28,132500,215029,090430,아모레퍼시픽,-0.0074906367041198685
2022-06-29,139000,446987,090430,아모레퍼시픽,0.049056603773584895
2022-06-30,130000,424089,090430,아모레퍼시픽,-0.06474820143884896
2022-07-01,130500,274749,090430,아모레퍼시픽,0.0038461538461538325
2022-07-04,128000,190071,090430,아모레퍼시픽,-0.019157088122605415
2022-07-05,130000,122989,090430,아모레퍼시픽,0.015625
2022-07-06,130500,237596,090430,아모레퍼시픽,0.0038461538461538325
2022-07-07,135000,165829,090430,아모레퍼시픽,0.034482758620689724
2022-07-08,133000,128173,090430,아모레퍼시픽,-0.014814814814814836
2022-07-11,131000,114452,090430,아모레퍼시픽,-0.015037593984962405
2022-07-12,130000,117074,090430,아모레퍼시픽,-0.007633587786259555
2022-07-13,136000,195845,090430,아모레퍼시픽,0.04615384615384621
2022-07-14,134500,172436,090430,아모레퍼시픽,-0.011029411764705843
2022-07-15,133500,127723,090430,아모레퍼시픽,-0.0074349442379182396
2022-07-18,134000,117689,090430,아모레퍼시픽,0.0037453183520599342
2022-07-19,133500,103096,090430,아모레퍼시픽,-0.003731343283582045
2022-07-20,138000,191796,090430,아모레퍼시픽,0.03370786516853941
2022-07-21,135500,184254,090430,아모레퍼시픽,-0.018115942028985477
2022-07-22,139500,224219,090430,아모레퍼시픽,0.029520295202952074
2022-07-25,138000,86151,090430,아모레퍼시픽,-0.010752688172043001
2022-07-26,137500,75381,090430,아모레퍼시픽,-0.0036231884057971175
2022-07-27,141500,229211,090430,아모레퍼시픽,0.029090909090909056
2022-07-28,127500,858036,090430,아모레퍼시픽,-0.09893992932862195
2022-07-29,129000,527143,090430,아모레퍼시픽,0.0117647058823529
2022-08-01,128000,168532,090430,아모레퍼시픽,-0.007751937984496138
2022-08-02,127000,142065,090430,아모레퍼시픽,-0.0078125
2022-08-03,127500,228973,090430,아모레퍼시픽,0.003937007874015741
2022-08-04,127500,196672,090430,아모레퍼시픽,0.0
2022-08-05,129000,206633,090430,아모레퍼시픽,0.0117647058823529
2022-08-08,125500,296582,090430,아모레퍼시픽,-0.027131782945736482
2022-08-09,125000,300593,090430,아모레퍼시픽,-0.003984063745019917
2022-08-10,125000,158237,090430,아모레퍼시픽,0.0
2022-08-11,127500,241603,090430,아모레퍼시픽,0.020000000000000018
2022-08-12,126500,122696,090430,아모레퍼시픽,-0.007843137254901933
2022-08-16,128000,124587,090430,아모레퍼시픽,0.011857707509881354
2022-08-17,128000,196138,090430,아모레퍼시픽,0.0
2022-08-18,128000,142142,090430,아모레퍼시픽,0.0
2022-08-19,127000,114764,090430,아모레퍼시픽,-0.0078125
2022-08-22,127000,116602,090430,아모레퍼시픽,0.0
2022-08-23,123000,196689,090430,아모레퍼시픽,-0.03149606299212604
2022-08-24,121500,528983,090430,아모레퍼시픽,-0.012195121951219523
2022-08-25,124500,236623,090430,아모레퍼시픽,0.024691358024691468
2022-08-26,124000,220859,090430,아모레퍼시픽,-0.004016064257028162
2022-08-29,121000,151628,090430,아모레퍼시픽,-0.024193548387096753
2022-08-30,123500,146817,090430,아모레퍼시픽,0.02066115702479343
2022-08-31,123000,207336,090430,아모레퍼시픽,-0.004048582995951455
2022-09-01,120000,138931,090430,아모레퍼시픽,-0.024390243902439046
2022-09-02,119500,113774,090430,아모레퍼시픽,-0.004166666666666652
2022-09-05,117500,216702,090430,아모레퍼시픽,-0.01673640167364021
2022-09-06,120500,250656,090430,아모레퍼시픽,0.025531914893617058
2022-09-07,118000,167753,090430,아모레퍼시픽,-0.020746887966805017
2022-09-08,117500,273644,090430,아모레퍼시픽,-0.004237288135593209
2022-09-13,121500,251288,090430,아모레퍼시픽,0.03404255319148941
2022-09-14,119500,115805,090430,아모레퍼시픽,-0.016460905349794275
2022-09-15,120500,243511,090430,아모레퍼시픽,0.008368200836819994
2022-09-16,124000,294874,090430,아모레퍼시픽,0.029045643153526868
2022-09-19,119000,243696,090430,아모레퍼시픽,-0.040322580645161255
2022-09-20,119500,243633,090430,아모레퍼시픽,0.004201680672268893
2022-09-21,120000,262337,090430,아모레퍼시픽,0.004184100418409997
2022-09-22,117500,274688,090430,아모레퍼시픽,-0.02083333333333337
2022-09-23,110500,530005,090430,아모레퍼시픽,-0.05957446808510636
